Sr.No.,Entity_Types,Input_Text,Output,Person
100,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Agents made contact with the vessel and determined that all 11 people on-board were unlawfully present in the U.S. Nine of the boat's occupants were Mexican nationals, one was a Guatemalan national, and one was a Salvadoran national.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Law enforcement agents)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vessel carrying undocumented migrants)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}VESSEL{tuple_delimiter}Agents made contact with the vessel carrying undocumented migrants{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",AGENTS
101,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","The crew observed the vessel, later identified as a 26-foot Pursuit displaying Florida registration, conduct an at-sea transfer with another vessel near Bimini, Bahamas.","(""entity""{tuple_delimiter}CREW{tuple_delimiter}PERSON{tuple_delimiter}The crew involved in observing activities at sea)
{record_delimiter}
(""entity""{tuple_delimiter}26-FOOT PURSUIT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel displaying Florida registration)
{record_delimiter}
(""entity""{tuple_delimiter}BIMINI, BAHAMAS{tuple_delimiter}LOCATION{tuple_delimiter}Location near which the vessel transfer occurred)
{record_delimiter}
(""relationship""{tuple_delimiter}26-FOOT PURSUIT{tuple_delimiter}BIMINI, BAHAMAS{tuple_delimiter}The 26-foot Pursuit vessel conducted an at-sea transfer near Bimini, Bahamas{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CREW
102,PERSON,"A total of 20 individuals were encountered, including two suspected smugglers who were among those arrested and transferred to U.S. Coast Guard custody for processing.","(""entity""{tuple_delimiter}SUSPECTED SMUGGLERS{tuple_delimiter}PERSON{tuple_delimiter}Two individuals suspected of smuggling)
{record_delimiter}
{completion_delimiter}",SUSPECTED SMUGGLERS
103,"MEANS_OF_TRANSPORTATION, LOCATION","Around 11:30 at night on February 8, a San Diego Air & Marine Branch (SDAMB)BE-350 Multi-Role Enforcement Aircraftdetected a possible lights out vessel by radar off the Southern California Coast headed north towards the maritime boundary line between Mexico and the United States.","(""entity""{tuple_delimiter}BE-350 MULTI-ROLE ENFORCEMENT AIRCRAFT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Aircraft that detected a lights out vessel)
{record_delimiter}
(""entity""{tuple_delimiter}SOUTHERN CALIFORNIA COAST{tuple_delimiter}LOCATION{tuple_delimiter}Coastal area near maritime boundary line)
{record_delimiter}
(""relationship""{tuple_delimiter}BE-350 MULTI-ROLE ENFORCEMENT AIRCRAFT{tuple_delimiter}SOUTHERN CALIFORNIA COAST{tuple_delimiter}The aircraft detected a vessel headed toward the Southern California Coast{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
104,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Barba was a leader of an alien smuggling organization based out of Baja California, Mexico and San Diego, California, which used panga boats, pleasure crafts, and multiple load vehicles to facilitate its sophisticated maritime smuggling operation.","(""entity""{tuple_delimiter}BARBA{tuple_delimiter}PERSON{tuple_delimiter}Leader of an alien smuggling organization)
{record_delimiter}
(""entity""{tuple_delimiter}PANGA BOATS{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Means of maritime transport)
{record_delimiter}
(""entity""{tuple_delimiter}PLEASURE CRAFTS{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Another type of vessel used for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}MULTIPLE LOAD VEHICLES{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Land-based vehicles used for transport)
{record_delimiter}
(""entity""{tuple_delimiter}BAJA CALIFORNIA, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Smuggling base location)
{record_delimiter}
(""entity""{tuple_delimiter}SAN DIEGO, CALIFORNIA{tuple_delimiter}LOCATION{tuple_delimiter}Smuggling base location)
{record_delimiter}
(""relationship""{tuple_delimiter}BARBA{tuple_delimiter}BAJA CALIFORNIA, MEXICO{tuple_delimiter}Barba operated from Baja California, Mexico{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}BARBA{tuple_delimiter}SAN DIEGO, CALIFORNIA{tuple_delimiter}Barba operated from San Diego, California{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BARBA
105,"PERSON, MEANS_OF_TRANSPORTATION","Antonio Hurtado, the boat captain of the doomed vessel smuggling 32 migrants in May 2021 wherein three people died, was sentenced today in federal court to 18 years in prison.","(""entity""{tuple_delimiter}ANTONIO HURTADO{tuple_delimiter}PERSON{tuple_delimiter}Boat captain involved in a fatal smuggling incident)
{record_delimiter}
(""entity""{tuple_delimiter}DOOMED VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}The vessel used for smuggling migrants)
{record_delimiter}
(""relationship""{tuple_delimiter}ANTONIO HURTADO{tuple_delimiter}DOOMED VESSEL{tuple_delimiter}Antonio Hurtado captained the doomed vessel involved in the smuggling operation{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",ANTONIO HURTADO
106,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","During the afternoon and evening of May 1, 2021, smugglers in Puerto Neuvo, Baja California, Mexico, shuttled undocumented migrants from the beach to a location approximately two hours offshore near the Coronado Islands where Hurtado and his 40-foot boat -- named the ""Salty Lady"" -- were waiting.","(""entity""{tuple_delimiter}SMUGGLERS{tuple_delimiter}PERSON{tuple_delimiter}Individuals shuttling migrants)
{record_delimiter}
(""entity""{tuple_delimiter}40-FOOT BOAT SALTY LADY{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}The vessel used for offshore pickup)
{record_delimiter}
(""entity""{tuple_delimiter}PUERTO NUEVO, BAJA CALIFORNIA, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Starting point for shuttling operation)
{record_delimiter}
(""entity""{tuple_delimiter}CORONADO ISLANDS{tuple_delimiter}LOCATION{tuple_delimiter}Location offshore near pickup point)
{record_delimiter}
(""relationship""{tuple_delimiter}SMUGGLERS{tuple_delimiter}PUERTO NUEVO, BAJA CALIFORNIA, MEXICO{tuple_delimiter}Smugglers operated from Puerto Nuevo, Baja California, Mexico{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}40-FOOT BOAT SALTY LADY{tuple_delimiter}CORONADO ISLANDS{tuple_delimiter}The Salty Lady was positioned offshore near the Coronado Islands{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",SMUGGLERS
107,"PERSON, FEES","Those individuals -- including three unaccompanied minors -- had agreed to pay between $15,000 and $18,000 to be smuggled into the United States illegally.","(""entity""{tuple_delimiter}INDIVIDUALS{tuple_delimiter}PERSON{tuple_delimiter}Individuals paying for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}$15,000-$18,000{tuple_delimiter}FEES{tuple_delimiter}Range of fees paid for illegal entry)
{record_delimiter}
(""relationship""{tuple_delimiter}INDIVIDUALS{tuple_delimiter}$15,000-$18,000{tuple_delimiter}Individuals agreed to pay between $15,000 and $18,000 to be smuggled into the U.S.{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}",INDIVIDUALS
108,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Throughout that night and into the early morning hours, Hurtado piloted his boat and its occupants through rainy conditions and rough seas from Mexico into United States territorial waters.","(""entity""{tuple_delimiter}HURTADO{tuple_delimiter}PERSON{tuple_delimiter}A person smuggling people on boat)
{record_delimiter}
(""entity""{tuple_delimiter}BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}The vessel used for carrying people)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES TERRITORIAL WATERS{tuple_delimiter}LOCATION{tuple_delimiter}Water body through which aliens were travelled into USA)
{record_delimiter}
(""relationship""{tuple_delimiter}HURTADO{tuple_delimiter}BOAT{tuple_delimiter}Hurtado piloted his boat and its occupants through rainy conditions and rough seas{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}HURTADO{tuple_delimiter}UNITED STATES TERRITORIAL WATERS{tuple_delimiter}Hurtado piloted his boat from Mexico into United States territorial waters{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",HURTADO
109,"MEANS_OF_TRANSPORTATION, LOCATION","At about 6:30 a.m. Friday, the Santa Cruz Police Department found an abandoned inflatable raft near Seal Rock Beach in Santa Cruz, CA, linked to an ongoing smuggling case.","(""entity""{tuple_delimiter}INFLATABLE RAFT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}An abandoned raft found near Seal Rock Beach in Santa Cruz, California)
{record_delimiter}
(""entity""{tuple_delimiter}SEAL ROCK BEACH{tuple_delimiter}LOCATION{tuple_delimiter}A location in Santa Cruz, California)
{record_delimiter}
(""relationship""{tuple_delimiter}INFLATABLE RAFT{tuple_delimiter}SEAL ROCK BEACH{tuple_delimiter}Santa Cruz Police Department found an abandoned inflatable raft near Seal Rock Beach in Santa Cruz, California{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
110,"MEANS_OF_TRANSPORTATION, LOCATION","A dark SUV reportedly used by the organization was seen overnight in a coastal neighborhood of Cambria, CA, but agents halted observation after it drove off at dawn.","(""entity""{tuple_delimiter}DARK SUV{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle suspected of being used by smugglers)
{record_delimiter}
(""entity""{tuple_delimiter}CAMBRIA, CA{tuple_delimiter}LOCATION{tuple_delimiter}Coastal town where vehicle was spotted)
{record_delimiter}
(""relationship""{tuple_delimiter}DARK SUV{tuple_delimiter}CAMBRIA, CA{tuple_delimiter}A dark SUV linked to smugglers was observed in Cambria, California{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
111,"MEANS_OF_TRANSPORTATION, LOCATION","Following intelligence about a boat drop in Oceanside, Homeland Security resumed tracking a minivan to an apartment in Fullerton, CA.","(""entity""{tuple_delimiter}MINIVAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A van linked to the smuggling organization)
{record_delimiter}
(""entity""{tuple_delimiter}FULLERTON, CA{tuple_delimiter}LOCATION{tuple_delimiter}Location where the vehicle was tracked)
{record_delimiter}
(""relationship""{tuple_delimiter}MINIVAN{tuple_delimiter}FULLERTON, CA{tuple_delimiter}Homeland Security tracked the minivan to an apartment in Fullerton, California{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
112,"PERSON, LOCATION","Carlos Jimenez, 31, a U.S. national residing in Mexicali, Mexico, was identified as a planner of the smuggling operation.","(""entity""{tuple_delimiter}CARLOS JIMENEZ{tuple_delimiter}PERSON{tuple_delimiter}A suspected planner of the smuggling operation)
{record_delimiter}
(""entity""{tuple_delimiter}MEXICALI, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Location where Jimenez resides)
{record_delimiter}
(""relationship""{tuple_delimiter}CARLOS JIMENEZ{tuple_delimiter}MEXICALI, MEXICO{tuple_delimiter}Carlos Jimenez resides in Mexicali and is involved in smuggling planning{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CARLOS JIMENEZ
113,"PERSON, LOCATION",Federal agents helped arrest 34 people in separate landings along the Oregon coastline on Saturday night.,"(""entity""{tuple_delimiter}FEDERAL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Law enforcement involved in the arrests)
{record_delimiter}
(""entity""{tuple_delimiter}OREGON COASTLINE{tuple_delimiter}LOCATION{tuple_delimiter}Shoreline where arrests were made)
{record_delimiter}
(""relationship""{tuple_delimiter}FEDERAL AGENTS{tuple_delimiter}OREGON COASTLINE{tuple_delimiter}Federal agents made arrests along the Oregon coastline{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",FEDERAL AGENTS
114,"PERSON, LOCATION","The operation began on Tuesday at around 5:15 p.m., when a local tipster reported a strange vessel in Elliott Bay near Seattle.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents investigating the tip)
{record_delimiter}
(""entity""{tuple_delimiter}ELLIOTT BAY{tuple_delimiter}LOCATION{tuple_delimiter}Bay area near Seattle)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}ELLIOTT BAY{tuple_delimiter}Agents were alerted about a suspicious vessel in Elliott Bay, Seattle{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",AGENTS
115,"ORGANIZATION, LOCATION","At 2:45 a.m. Wednesday, the Portland Harbor Unit notified marine interdiction officers about a suspected smuggling vessel off the shore of Portland.","(""entity""{tuple_delimiter}PORTLAND HARBOR UNIT{tuple_delimiter}ORGANIZATION{tuple_delimiter}Unit responsible for the notification)
{record_delimiter}
(""entity""{tuple_delimiter}PORTLAND{tuple_delimiter}LOCATION{tuple_delimiter}Coastal area near Portland)
{record_delimiter}
(""relationship""{tuple_delimiter}PORTLAND HARBOR UNIT{tuple_delimiter}PORTLAND{tuple_delimiter}The Portland Harbor Unit notified officers of a suspicious vessel near Portland{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
116,"MEANS_OF_TRANSPORTATION, LOCATION","The officers intercepted the speedboat at the Port Angeles dock, discovering 16 migrants inside. Two additional suspects were found with a dark gray SUV nearby.","(""entity""{tuple_delimiter}SPEEDBOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A fast-moving boat carrying migrants)
{record_delimiter}
(""entity""{tuple_delimiter}DARK GRAY SUV{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle linked to the suspects)
{record_delimiter}
(""entity""{tuple_delimiter}PORT ANGELES DOCK{tuple_delimiter}LOCATION{tuple_delimiter}Dock where the speedboat was intercepted)
{record_delimiter}
(""relationship""{tuple_delimiter}SPEEDBOAT{tuple_delimiter}PORT ANGELES DOCK{tuple_delimiter}Speedboat was intercepted at Port Angeles dock{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}DARK GRAY SUV{tuple_delimiter}PORT ANGELES DOCK{tuple_delimiter}SUV was located near the dock where suspects were found{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
117,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Investigators approached a yacht with 13 people on board — ten from Honduras, two from Nicaragua, and one from Peru — during a boarding near Catalina Island.","(""entity""{tuple_delimiter}INVESTIGATORS{tuple_delimiter}PERSON{tuple_delimiter}Authorities boarding the vessel)
{record_delimiter}
(""entity""{tuple_delimiter}YACHT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Luxury vessel used for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}CATALINA ISLAND{tuple_delimiter}LOCATION{tuple_delimiter}Location of vessel boarding)
{record_delimiter}
(""relationship""{tuple_delimiter}INVESTIGATORS{tuple_delimiter}YACHT{tuple_delimiter}Investigators boarded the yacht for inspection{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",INVESTIGATORS
118,PERSON,"Authorities processed 18 individuals, including three suspected organizers who were transferred into Homeland Security custody for further questioning.","(""entity""{tuple_delimiter}SUSPECTED ORGANIZERS{tuple_delimiter}PERSON{tuple_delimiter}Three individuals suspected of organizing smuggling)
{record_delimiter}
{completion_delimiter}","AUTHORITIES,INDIVIDUALS"
119,"MEANS_OF_TRANSPORTATION, LOCATION","On March 5, 2023, a reconnaissance drone detected an unlit vessel approaching the northern coast of Baja California Sur under the cover of night.","(""entity""{tuple_delimiter}RECONNAISSANCE DRONE{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Device used to detect marine traffic)
{record_delimiter}
(""entity""{tuple_delimiter}NORTHERN COAST OF BAJA CALIFORNIA SUR{tuple_delimiter}LOCATION{tuple_delimiter}Maritime zone of interest)
{record_delimiter}
(""relationship""{tuple_delimiter}RECONNAISSANCE DRONE{tuple_delimiter}NORTHERN COAST OF BAJA CALIFORNIA SUR{tuple_delimiter}Drone detected vessel near Baja California Sur{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
120,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Martinez directed his crew to meet at a remote beach in San Quintín, Mexico with two rigid-hull boats intended for transporting groups offshore.","(""entity""{tuple_delimiter}MARTINEZ{tuple_delimiter}PERSON{tuple_delimiter}Suspected smuggling leader)
{record_delimiter}
(""entity""{tuple_delimiter}RIGID-HULL BOATS{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Smuggling watercraft)
{record_delimiter}
(""entity""{tuple_delimiter}SAN QUINTÍN, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Meeting location for smuggling operation)
{record_delimiter}
(""relationship""{tuple_delimiter}MARTINEZ{tuple_delimiter}SAN QUINTÍN, MEXICO{tuple_delimiter}Martinez coordinated transport near San Quintín, Mexico{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",MARTINEZ
121,"PERSON, MEANS_OF_TRANSPORTATION","Ernesto Delgado, captain of the vessel that capsized in April 2022, resulting in the loss of four lives, was sentenced to 15 years imprisonment.","(""entity""{tuple_delimiter}ERNESTO DELGADO{tuple_delimiter}PERSON{tuple_delimiter}Captain of a capsized smuggling vessel)
{record_delimiter}
(""entity""{tuple_delimiter}CAPSIZED VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Boat used in the fatal smuggling attempt)
{record_delimiter}
(""relationship""{tuple_delimiter}ERNESTO DELGADO{tuple_delimiter}CAPSIZED VESSEL{tuple_delimiter}Delgado was the captain of the capsized vessel{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",ERNESTO DELGADO
122,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","On July 14, 2023, smugglers in La Paz, Mexico, boarded undocumented migrants onto a 38-foot fishing boat bound for international waters near Isla Santa Catalina.","(""entity""{tuple_delimiter}SMUGGLERS{tuple_delimiter}PERSON{tuple_delimiter}Individuals coordinating offshore smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}38-FOOT FISHING BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Boat used for maritime transport)
{record_delimiter}
(""entity""{tuple_delimiter}LA PAZ, MEXICO{tuple_delimiter}LOCATION{tuple_delimiter}Departure point for smuggling journey)
{record_delimiter}
(""entity""{tuple_delimiter}ISLA SANTA CATALINA{tuple_delimiter}LOCATION{tuple_delimiter}Nearby international water destination)
{record_delimiter}
(""relationship""{tuple_delimiter}SMUGGLERS{tuple_delimiter}LA PAZ, MEXICO{tuple_delimiter}Smugglers operated from La Paz, Mexico{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}38-FOOT FISHING BOAT{tuple_delimiter}ISLA SANTA CATALINA{tuple_delimiter}Boat was bound for Isla Santa Catalina{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",SMUGGLERS
123,"MEANS_OF_TRANSPORTATION, LOCATION","The smuggling investigation leading to the arrests shifted into high gear at around 7 a.m. Friday after the Carlsbad Police Department located an abandoned panga-style boat near Ponto Beach in Carlsbad, Calif.","(""entity""{tuple_delimiter}PANGA-STYLE BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}An abandoned vessel found near Ponto Beach in Carlsbad, California)
{record_delimiter}
(""entity""{tuple_delimiter}PONTO BEACH {tuple_delimiter}LOCATION{tuple_delimiter}A location in Carlsbad, California)
{record_delimiter}
(""relationship""{tuple_delimiter}PANGA-STYLE BOAT{tuple_delimiter}PONTO BEACH{tuple_delimiter}Carlsbad Police Department located an abandoned panga-style boat near Ponto Beach in Carlsbad, California}9)
{record_delimiter}
{completion_delimiter}",
124,"MEANS_OF_TRANSPORTATION, LOCATION","A van believed to belong to the organization spent Thursday night parked in a coastal neighborhood in Rancho Palos Verdes, Calif., but agents suspended surveillance when the vehicle left at sunrise without picking up any passengers.","(""entity""{tuple_delimiter}VAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that was being observed by agents)
{record_delimiter}
(""entity""{tuple_delimiter}RANCHO PALOS VERDES {tuple_delimiter}LOCATION{tuple_delimiter}A coastal neighborhood in California)
{record_delimiter}
(""relationship""{tuple_delimiter}VAN{tuple_delimiter}RANCHO PALOS VERDES{tuple_delimiter}A van believed to belong to the organization spent Thursday night parked in a coastal neighborhood in Rancho Palos Verdes, California}9)
{record_delimiter}
{completion_delimiter}",
125,"MEANS_OF_TRANSPORTATION, LOCATION","Upon receiving information about the boat landing in Carlsbad, agents with the LA BEST and the Border Patrol resumed surveillance on the cargo van believed to belong to the smuggling organization, ultimately tracking it to an apartment building in Anaheim, Calif. When investigators entered the residence, they encountered nine illegal aliens from Mexico whose clothes were still wet and caked with sand from the morning's boat landing.","(""entity""{tuple_delimiter}CARGO VAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} believed to belong to the smuggling organization)
{record_delimiter}
(""entity""{tuple_delimiter}ANAHEIM, CALIFORNIA {tuple_delimiter}LOCATION{tuple_delimiter}Location where the cargo van was tracked to)
{record_delimiter}
(""relationship""{tuple_delimiter}CARGO VAN{tuple_delimiter}ANAHEIM, CALIFORNIA{tuple_delimiter}Agents with the LA BEST and the Border Patrol resumed surveillance on the cargo van believed to belong to the smuggling organization, ultimately tracking it to an apartment building in Anaheim, California}9)
{record_delimiter}
{completion_delimiter}",
126,"PERSON, LOCATION","Mario Echeverria, 24, a naturalized U.S. citizen residing in Tijuana, Mexico. Echeverria is suspected of being one of the ringleaders of the maritime smuggling organization","(""entity""{tuple_delimiter}MARIO ECHEVERRIA{tuple_delimiter}PERSON{tuple_delimiter} A suspected ringleader of the maritime smuggling organization)
{record_delimiter}
(""entity""{tuple_delimiter}TIJUANA, MEXICO {tuple_delimiter}LOCATION{tuple_delimiter}Location where Echevierra resides)
{record_delimiter}
(""relationship""{tuple_delimiter}MARIO ECHEVERRIA{tuple_delimiter}TIJUANA, MEXICO{tuple_delimiter}Mario Echeverria, a naturalized U.S. citizen residing in Tijuana, Mexico, is suspected of being one of the ringleaders of the maritime smuggling organization}9)
{record_delimiter}
{completion_delimiter}",MARIO ECHEVERRIA
127,"PERSON, LOCATION",U.S Border Patrol (USBP) agents assisted in the arrest of 28 people during two separate incursions along the California coastline.,"(""entity""{tuple_delimiter}USBP{tuple_delimiter}PERSON{tuple_delimiter} U.S. Border Patrol)
{record_delimiter}
(""entity""{tuple_delimiter}CALIFORNIA COASTLINE {tuple_delimiter}LOCATION{tuple_delimiter}Location where USBP made arrests)
{record_delimiter}
(""relationship""{tuple_delimiter}USBP{tuple_delimiter}CALIFORNIA COASTLINE{tuple_delimiter}U.S Border Patrol (USBP) agents assisted in the arrest of 28 people during two separate incursions along the California coastline}9)
{record_delimiter}
{completion_delimiter}",
128,"PERSON, LOCATION","The first incident occurred on Sunday, at approximately 6:30 p.m , when agents were notified by a concerned citizen of a suspicious vessel in San Diego Bay, near Coronado.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter} U.S. Border Patrol agents)
{record_delimiter}
(""entity""{tuple_delimiter}SAN DIEGO BAY {tuple_delimiter}LOCATION{tuple_delimiter}Location near Coronado)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}SAN DIEGO BAY{tuple_delimiter}agents were notified by a concerned citizen of a suspicious vessel in San Diego Bay, near Coronado}9)
{record_delimiter}
{completion_delimiter}",AGENTS
129,"PERSON, LOCATION","The second event happened on Monday at 12:30 a.m , when the U.S Coast Guard’s Joint Harbor Operation Center notified AMO’s marine interdiction agents (MIAs) about a suspicious vessel off the coast of downtown San Diego.","(""entity""{tuple_delimiter}JOINT HARBOR OPERATION CENTER{tuple_delimiter}PERSON{tuple_delimiter}The Joint Harbor Operation Center responsible for notification)
{record_delimiter}
(""entity""{tuple_delimiter}DOWNTOWN SAN DIEGO{tuple_delimiter}LOCATION{tuple_delimiter}Coastal location referenced in the event)
{record_delimiter}
(""relationship""{tuple_delimiter}JOINT HARBOR OPERATION CENTER{tuple_delimiter}DOWNTOWN SAN DIEGO{tuple_delimiter}The Joint Harbor Operation Center notified agents about a suspicious vessel off the coast of downtown San Diego{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
130,"MEANS_OF_TRANSPORTATION, LOCATION",MIAs met the vessel at the Shelter Island boat dock and discovered 14 people on-board who were illegally present in the U.S Three other people were discovered nearby with a white pickup truck and boat trailer.,"(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A suspicious vessel carrying undocumented migrants)
{record_delimiter}
(""entity""{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A truck involved near the boat dock)
{record_delimiter}
(""entity""{tuple_delimiter}BOAT TRAILER{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Trailer associated with the pickup truck)
{record_delimiter}
(""entity""{tuple_delimiter}SHELTER ISLAND BOAT DOCK{tuple_delimiter}LOCATION{tuple_delimiter}Location where the vessel was intercepted)
{record_delimiter}
(""relationship""{tuple_delimiter}VESSEL{tuple_delimiter}SHELTER ISLAND BOAT DOCK{tuple_delimiter}The vessel was intercepted at Shelter Island boat dock{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}SHELTER ISLAND BOAT DOCK{tuple_delimiter}A white pickup truck was located near the boat dock{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
131,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","Agents made contact with the vessel and determined that all 11 people on-board were unlawfully present in the U.S. Nine of the boat's occupants were Mexican nationals, one was a Guatemalan national, and one was a Salvadoran national.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Law enforcement agents)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vessel carrying undocumented migrants)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}VESSEL{tuple_delimiter}Agents made contact with the vessel carrying undocumented migrants{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",AGENTS
132,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","The crew observed the vessel, later identified as a 26-foot Pursuit displaying Florida registration, conduct an at-sea transfer with another vessel near Bimini, Bahamas.","(""entity""{tuple_delimiter}CREW{tuple_delimiter}PERSON{tuple_delimiter}The crew involved in observing activities at sea)
{record_delimiter}
(""entity""{tuple_delimiter}26-FOOT PURSUIT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel displaying Florida registration)
{record_delimiter}
(""entity""{tuple_delimiter}BIMINI, BAHAMAS{tuple_delimiter}LOCATION{tuple_delimiter}Location near which the vessel transfer occurred)
{record_delimiter}
(""relationship""{tuple_delimiter}26-FOOT PURSUIT{tuple_delimiter}BIMINI, BAHAMAS{tuple_delimiter}The 26-foot Pursuit vessel conducted an at-sea transfer near Bimini, Bahamas{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CREW
133,PERSON,"A total of 20 individuals were encountered, including two suspected smugglers who were among those arrested and transferred to U.S. Coast Guard custody for processing.","(""entity""{tuple_delimiter}SUSPECTED SMUGGLERS{tuple_delimiter}PERSON{tuple_delimiter}Two individuals suspected of smuggling)
{record_delimiter}
{completion_delimiter}",SUSPECTED SMUGGLERS
