Sr.No.,Input_Text,TP_ent,FP_ent,FN_ent,TP_rel,FP_rel,FN_rel,TP_ent_pairs,FP_ent_pairs,FN_ent_pairs,TP_rel_pairs,FP_rel_pairs,FN_rel_pairs
96,"Agents made contact with the vessel and determined that all 11 people on-board were unlawfully present in the U.S. Nine of the boat's occupants were Mexican nationals, one was a Guatemalan national, and one was a Salvadoran national.",3,2,5,0,7,7,"('guatemalan national', 'person'); ('salvadoran national', 'person'); ('vessel', 'means_of_transportation')","('mexican nationals', 'person'); ('u.s.', 'location')","('11 people', 'person'); ('el salvador', 'location'); ('guatemala', 'location'); ('mexico', 'location'); ('nine mexican nationals', 'person')",,"('guatemalan national', 'u.s.'); ('guatemalan national', 'vessel'); ('mexican nationals', 'u.s.'); ('mexican nationals', 'vessel'); ('salvadoran national', 'u.s.'); ('salvadoran national', 'vessel'); ('vessel', 'u.s.')","('11 people', 'guatemalan national'); ('11 people', 'nine mexican nationals'); ('11 people', 'salvadoran national'); ('guatemalan national', 'guatemala'); ('nine mexican nationals', 'mexico'); ('salvadoran national', 'el salvador'); ('vessel', '11 people')"
97,"The crew observed the vessel, later identified as a 26-foot Pursuit displaying Florida registration, conduct an at-sea transfer with another vessel near Bimini, Bahamas.",2,1,2,1,2,3,"('26-foot pursuit', 'means_of_transportation'); ('bimini, bahamas', 'location')","('crew', 'person')","('another vessel', 'means_of_transportation'); ('florida', 'location')","('26-foot pursuit', 'bimini, bahamas')","('crew', '26-foot pursuit'); ('crew', 'bimini, bahamas')","('26-foot pursuit', 'another vessel'); ('26-foot pursuit', 'florida'); ('another vessel', 'bimini, bahamas')"
98,"A total of 20 individuals were encountered, including two suspected smugglers who were among those arrested and transferred to U.S. Coast Guard custody for processing.",0,1,3,0,0,3,,"('two suspected smugglers', 'person')","('20 individuals', 'person'); ('suspected smugglers', 'person'); ('u.s. coast guard', 'organization')",,,"('20 individuals', 'suspected smugglers'); ('20 individuals', 'u.s. coast guard'); ('suspected smugglers', 'u.s. coast guard')"
99,"Around 11:30 at night on February 8, a San Diego Air & Marine Branch (SDAMB)BE-350 Multi-Role Enforcement Aircraftdetected a possible lights out vessel by radar off the Southern California Coast headed north towards the maritime boundary line between Mexico and the United States.",4,0,3,2,2,7,"('be-350 multi-role enforcement aircraft', 'means_of_transportation'); ('mexico', 'location'); ('southern california coast', 'location'); ('united states', 'location')",,"('lights out vessel', 'means_of_transportation'); ('maritime boundary line', 'location'); ('san diego air & marine branch', 'organization')","('be-350 multi-role enforcement aircraft', 'southern california coast'); ('mexico', 'united states')","('southern california coast', 'mexico'); ('southern california coast', 'united states')","('be-350 multi-role enforcement aircraft', 'lights out vessel'); ('lights out vessel', 'maritime boundary line'); ('lights out vessel', 'southern california coast'); ('maritime boundary line', 'mexico'); ('maritime boundary line', 'southern california coast'); ('maritime boundary line', 'united states'); ('san diego air & marine branch', 'be-350 multi-role enforcement aircraft')"
100,"Barba was a leader of an alien smuggling organization based out of Baja California, Mexico and San Diego, California, which used panga boats, pleasure crafts, and multiple load vehicles to facilitate its sophisticated maritime smuggling operation.",6,0,0,2,7,0,"('baja california, mexico', 'location'); ('barba', 'person'); ('multiple load vehicles', 'means_of_transportation'); ('panga boats', 'means_of_transportation'); ('pleasure crafts', 'means_of_transportation'); ('san diego, california', 'location')",,,"('barba', 'baja california, mexico'); ('barba', 'san diego, california')","('barba', 'multiple load vehicles'); ('barba', 'panga boats'); ('barba', 'pleasure crafts'); ('multiple load vehicles', 'baja california, mexico'); ('multiple load vehicles', 'san diego, california'); ('panga boats', 'baja california, mexico'); ('pleasure crafts', 'san diego, california')",
101,"Antonio Hurtado, the boat captain of the doomed vessel smuggling 32 migrants in May 2021 wherein three people died, was sentenced today in federal court to 18 years in prison.",0,2,7,0,1,14,,"('antonio hurtado', 'person'); ('doomed vessel', 'means_of_transportation')","('alien smuggling organization', 'organization'); ('baja california, mexico', 'location'); ('barba', 'person'); ('multiple load vehicles', 'means_of_transportation'); ('panga boats', 'means_of_transportation'); ('pleasure crafts', 'means_of_transportation'); ('san diego, california', 'location')",,"('antonio hurtado', 'doomed vessel')","('alien smuggling organization', 'baja california, mexico'); ('alien smuggling organization', 'multiple load vehicles'); ('alien smuggling organization', 'panga boats'); ('alien smuggling organization', 'pleasure crafts'); ('alien smuggling organization', 'san diego, california'); ('barba', 'alien smuggling organization'); ('barba', 'baja california, mexico'); ('barba', 'san diego, california'); ('multiple load vehicles', 'baja california, mexico'); ('multiple load vehicles', 'san diego, california'); ('panga boats', 'baja california, mexico'); ('panga boats', 'san diego, california'); ('pleasure crafts', 'baja california, mexico'); ('pleasure crafts', 'san diego, california')"
102,"During the afternoon and evening of May 1, 2021, smugglers in Puerto Neuvo, Baja California, Mexico, shuttled undocumented migrants from the beach to a location approximately two hours offshore near the Coronado Islands where Hurtado and his 40-foot boat -- named the ""Salty Lady"" -- were waiting.",2,2,5,1,4,12,"('coronado islands', 'location'); ('hurtado', 'person')","('puerto neuvo, baja california, mexico', 'location'); ('salty lady', 'means_of_transportation')","('40-foot boat salty lady', 'means_of_transportation'); ('beach', 'location'); ('offshore location', 'location'); ('puerto nuevo, baja california, mexico', 'location'); ('undocumented migrants', 'person')","('hurtado', 'coronado islands')","('hurtado', 'puerto neuvo, baja california, mexico'); ('hurtado', 'salty lady'); ('puerto neuvo, baja california, mexico', 'coronado islands'); ('salty lady', 'coronado islands')","('40-foot boat salty lady', 'coronado islands'); ('40-foot boat salty lady', 'offshore location'); ('beach', 'offshore location'); ('beach', 'puerto nuevo, baja california, mexico'); ('hurtado', '40-foot boat salty lady'); ('hurtado', 'offshore location'); ('offshore location', 'coronado islands'); ('undocumented migrants', '40-foot boat salty lady'); ('undocumented migrants', 'beach'); ('undocumented migrants', 'coronado islands'); ('undocumented migrants', 'offshore location'); ('undocumented migrants', 'puerto nuevo, baja california, mexico')"
103,"Those individuals -- including three unaccompanied minors -- had agreed to pay between $15,000 and $18,000 to be smuggled into the United States illegally.",0,3,2,0,2,1,,"('$15,000', 'fees'); ('$18,000', 'fees'); ('unaccompanied minors', 'person')","('three unaccompanied minors', 'person'); ('united states', 'location')",,"('unaccompanied minors', '$15,000'); ('unaccompanied minors', '$18,000')","('three unaccompanied minors', 'united states')"
104,"Throughout that night and into the early morning hours, Hurtado piloted his boat and its occupants through rainy conditions and rough seas from Mexico into United States territorial waters.",3,1,2,3,3,7,"('boat', 'means_of_transportation'); ('hurtado', 'person'); ('mexico', 'location')","('united states', 'location')","('occupants', 'person'); ('united states territorial waters', 'location')","('boat', 'mexico'); ('hurtado', 'boat'); ('hurtado', 'mexico')","('boat', 'united states'); ('hurtado', 'united states'); ('mexico', 'united states')","('boat', 'occupants'); ('boat', 'united states territorial waters'); ('hurtado', 'occupants'); ('hurtado', 'united states territorial waters'); ('mexico', 'united states territorial waters'); ('occupants', 'mexico'); ('occupants', 'united states territorial waters')"
105,"At about 6:30 a.m. Friday, the Santa Cruz Police Department found an abandoned inflatable raft near Seal Rock Beach in Santa Cruz, CA, linked to an ongoing smuggling case.",3,0,1,3,0,3,"('inflatable raft', 'means_of_transportation'); ('santa cruz, ca', 'location'); ('seal rock beach', 'location')",,"('santa cruz police department', 'organization')","('inflatable raft', 'santa cruz, ca'); ('inflatable raft', 'seal rock beach'); ('seal rock beach', 'santa cruz, ca')",,"('santa cruz police department', 'inflatable raft'); ('santa cruz police department', 'santa cruz, ca'); ('santa cruz police department', 'seal rock beach')"
106,"A dark SUV reportedly used by the organization was seen overnight in a coastal neighborhood of Cambria, CA, but agents halted observation after it drove off at dawn.",2,0,1,1,0,2,"('cambria, ca', 'location'); ('dark suv', 'means_of_transportation')",,"('organization', 'organization')","('dark suv', 'cambria, ca')",,"('organization', 'cambria, ca'); ('organization', 'dark suv')"
107,"Following intelligence about a boat drop in Oceanside, Homeland Security resumed tracking a minivan to an apartment in Fullerton, CA.",3,1,2,2,1,7,"('fullerton, ca', 'location'); ('minivan', 'means_of_transportation'); ('oceanside', 'location')","('boat', 'means_of_transportation')","('apartment', 'location'); ('homeland security', 'organization')","('minivan', 'fullerton, ca'); ('oceanside', 'fullerton, ca')","('boat', 'oceanside')","('apartment', 'fullerton, ca'); ('homeland security', 'apartment'); ('homeland security', 'fullerton, ca'); ('homeland security', 'minivan'); ('homeland security', 'oceanside'); ('minivan', 'apartment'); ('minivan', 'oceanside')"
108,"Carlos Jimenez, 31, a U.S. national residing in Mexicali, Mexico, was identified as a planner of the smuggling operation.",2,0,1,1,0,1,"('carlos jimenez', 'person'); ('mexicali, mexico', 'location')",,"('smuggling operation', 'organization')","('carlos jimenez', 'mexicali, mexico')",,"('carlos jimenez', 'smuggling operation')"
109,Federal agents helped arrest 34 people in separate landings along the Oregon coastline on Saturday night.,0,2,2,0,1,1,,"('federal agents', 'person'); ('oregon', 'location')","('34 people', 'person'); ('oregon coastline', 'location')",,"('federal agents', 'oregon')","('34 people', 'oregon coastline')"
110,"The operation began on Tuesday at around 5:15 p.m., when a local tipster reported a strange vessel in Elliott Bay near Seattle.",2,1,1,1,2,2,"('elliott bay', 'location'); ('seattle', 'location')","('local tipster', 'person')","('strange vessel', 'means_of_transportation')","('elliott bay', 'seattle')","('local tipster', 'elliott bay'); ('local tipster', 'seattle')","('strange vessel', 'elliott bay'); ('strange vessel', 'seattle')"
111,"At 2:45 a.m. Wednesday, the Portland Harbor Unit notified marine interdiction officers about a suspected smuggling vessel off the shore of Portland.",2,0,1,1,0,2,"('portland', 'location'); ('portland harbor unit', 'organization')",,"('suspected smuggling vessel', 'means_of_transportation')","('portland harbor unit', 'portland')",,"('portland harbor unit', 'suspected smuggling vessel'); ('suspected smuggling vessel', 'portland')"
112,"The officers intercepted the speedboat at the Port Angeles dock, discovering 16 migrants inside. Two additional suspects were found with a dark gray SUV nearby.",3,0,2,2,0,4,"('dark gray suv', 'means_of_transportation'); ('port angeles dock', 'location'); ('speedboat', 'means_of_transportation')",,"('16 migrants', 'person'); ('two additional suspects', 'person')","('dark gray suv', 'port angeles dock'); ('speedboat', 'port angeles dock')",,"('16 migrants', 'port angeles dock'); ('speedboat', '16 migrants'); ('two additional suspects', 'dark gray suv'); ('two additional suspects', 'port angeles dock')"
113,"Investigators approached a yacht with 13 people on board — ten from Honduras, two from Nicaragua, and one from Peru — during a boarding near Catalina Island.",6,0,4,2,3,9,"('catalina island', 'location'); ('honduras', 'location'); ('investigators', 'person'); ('nicaragua', 'location'); ('peru', 'location'); ('yacht', 'means_of_transportation')",,"('13 people', 'person'); ('peruvian national', 'person'); ('ten honduran nationals', 'person'); ('two nicaraguan nationals', 'person')","('investigators', 'yacht'); ('yacht', 'catalina island')","('yacht', 'honduras'); ('yacht', 'nicaragua'); ('yacht', 'peru')","('13 people', 'catalina island'); ('13 people', 'peruvian national'); ('13 people', 'ten honduran nationals'); ('13 people', 'two nicaraguan nationals'); ('investigators', 'catalina island'); ('peruvian national', 'peru'); ('ten honduran nationals', 'honduras'); ('two nicaraguan nationals', 'nicaragua'); ('yacht', '13 people')"
114,"Authorities processed 18 individuals, including three suspected organizers who were transferred into Homeland Security custody for further questioning.",1,0,3,0,0,6,"('suspected organizers', 'person')",,"('18 individuals', 'person'); ('authorities', 'person'); ('homeland security', 'organization')",,,"('18 individuals', 'homeland security'); ('18 individuals', 'suspected organizers'); ('authorities', '18 individuals'); ('authorities', 'homeland security'); ('authorities', 'suspected organizers'); ('suspected organizers', 'homeland security')"
115,"On March 5, 2023, a reconnaissance drone detected an unlit vessel approaching the northern coast of Baja California Sur under the cover of night.",2,1,1,1,2,2,"('reconnaissance drone', 'means_of_transportation'); ('unlit vessel', 'means_of_transportation')","('baja california sur', 'location')","('northern coast of baja california sur', 'location')","('reconnaissance drone', 'unlit vessel')","('reconnaissance drone', 'baja california sur'); ('unlit vessel', 'baja california sur')","('reconnaissance drone', 'northern coast of baja california sur'); ('unlit vessel', 'northern coast of baja california sur')"
116,"Martinez directed his crew to meet at a remote beach in San Quintín, Mexico with two rigid-hull boats intended for transporting groups offshore.",3,0,2,2,1,8,"('martinez', 'person'); ('rigid-hull boats', 'means_of_transportation'); ('san quintín, mexico', 'location')",,"('crew', 'person'); ('remote beach', 'location')","('martinez', 'rigid-hull boats'); ('martinez', 'san quintín, mexico')","('san quintín, mexico', 'rigid-hull boats')","('crew', 'remote beach'); ('crew', 'rigid-hull boats'); ('crew', 'san quintín, mexico'); ('martinez', 'crew'); ('martinez', 'remote beach'); ('remote beach', 'san quintín, mexico'); ('rigid-hull boats', 'remote beach'); ('rigid-hull boats', 'san quintín, mexico')"
117,"Ernesto Delgado, captain of the vessel that capsized in April 2022, resulting in the loss of four lives, was sentenced to 15 years imprisonment.",1,1,2,0,1,3,"('ernesto delgado', 'person')","('vessel', 'means_of_transportation')","('capsized vessel', 'means_of_transportation'); ('four lives', 'person')",,"('ernesto delgado', 'vessel')","('capsized vessel', 'four lives'); ('ernesto delgado', 'capsized vessel'); ('ernesto delgado', 'four lives')"
118,"On July 14, 2023, smugglers in La Paz, Mexico, boarded undocumented migrants onto a 38-foot fishing boat bound for international waters near Isla Santa Catalina.",4,0,2,4,0,9,"('38-foot fishing boat', 'means_of_transportation'); ('isla santa catalina', 'location'); ('la paz, mexico', 'location'); ('smugglers', 'person')",,"('international waters', 'location'); ('undocumented migrants', 'person')","('38-foot fishing boat', 'isla santa catalina'); ('smugglers', '38-foot fishing boat'); ('smugglers', 'isla santa catalina'); ('smugglers', 'la paz, mexico')",,"('38-foot fishing boat', 'international waters'); ('38-foot fishing boat', 'la paz, mexico'); ('international waters', 'isla santa catalina'); ('smugglers', 'international waters'); ('smugglers', 'undocumented migrants'); ('undocumented migrants', '38-foot fishing boat'); ('undocumented migrants', 'international waters'); ('undocumented migrants', 'isla santa catalina'); ('undocumented migrants', 'la paz, mexico')"
119,"The smuggling investigation leading to the arrests shifted into high gear at around 7 a.m. Friday after the Carlsbad Police Department located an abandoned panga-style boat near Ponto Beach in Carlsbad, Calif.",2,1,2,1,2,5,"('panga-style boat', 'means_of_transportation'); ('ponto beach', 'location')","('carlsbad', 'location')","('carlsbad police department', 'organization'); ('carlsbad, ca', 'location')","('panga-style boat', 'ponto beach')","('panga-style boat', 'carlsbad'); ('ponto beach', 'carlsbad')","('carlsbad police department', 'carlsbad, ca'); ('carlsbad police department', 'panga-style boat'); ('carlsbad police department', 'ponto beach'); ('panga-style boat', 'carlsbad, ca'); ('ponto beach', 'carlsbad, ca')"
120,"A van believed to belong to the organization spent Thursday night parked in a coastal neighborhood in Rancho Palos Verdes, Calif., but agents suspended surveillance when the vehicle left at sunrise without picking up any passengers.",1,1,3,0,1,5,"('van', 'means_of_transportation')","('rancho palos verdes, calif.', 'location')","('agents', 'person'); ('organization', 'organization'); ('rancho palos verdes', 'location')",,"('van', 'rancho palos verdes, calif.')","('agents', 'rancho palos verdes'); ('agents', 'van'); ('organization', 'rancho palos verdes'); ('organization', 'van'); ('van', 'rancho palos verdes')"
121,"Upon receiving information about the boat landing in Carlsbad, agents with the LA BEST and the Border Patrol resumed surveillance on the cargo van believed to belong to the smuggling organization, ultimately tracking it to an apartment building in Anaheim, Calif. When investigators entered the residence, they encountered nine illegal aliens from Mexico whose clothes were still wet and caked with sand from the morning's boat landing.",2,3,8,0,4,29,"('cargo van', 'means_of_transportation'); ('carlsbad', 'location')","('anaheim, calif.', 'location'); ('boat', 'means_of_transportation'); ('mexico', 'location')","('agents', 'person'); ('anaheim, california', 'location'); ('apartment building', 'location'); ('border patrol', 'organization'); ('investigators', 'person'); ('la best', 'organization'); ('nine illegal aliens', 'person'); ('smuggling organization', 'organization')",,"('boat', 'carlsbad'); ('boat', 'mexico'); ('cargo van', 'anaheim, calif.'); ('cargo van', 'boat')","('agents', 'anaheim, california'); ('agents', 'apartment building'); ('agents', 'cargo van'); ('agents', 'carlsbad'); ('apartment building', 'anaheim, california'); ('border patrol', 'agents'); ('border patrol', 'anaheim, california'); ('border patrol', 'apartment building'); ('border patrol', 'cargo van'); ('border patrol', 'carlsbad'); ('border patrol', 'smuggling organization'); ('cargo van', 'anaheim, california'); ('cargo van', 'apartment building'); ('cargo van', 'carlsbad'); ('cargo van', 'smuggling organization'); ('carlsbad', 'apartment building'); ('investigators', 'anaheim, california'); ('investigators', 'apartment building'); ('investigators', 'nine illegal aliens from mexico'); ('la best', 'agents'); ('la best', 'anaheim, california'); ('la best', 'apartment building'); ('la best', 'border patrol'); ('la best', 'cargo van'); ('la best', 'carlsbad'); ('la best', 'smuggling organization'); ('nine illegal aliens', 'anaheim, california'); ('nine illegal aliens', 'apartment building'); ('nine illegal aliens', 'carlsbad')"
122,"Mario Echeverria, 24, a naturalized U.S. citizen residing in Tijuana, Mexico. Echeverria is suspected of being one of the ringleaders of the maritime smuggling organization",2,0,1,1,0,1,"('mario echeverria', 'person'); ('tijuana, mexico', 'location')",,"('maritime smuggling organization', 'organization')","('mario echeverria', 'tijuana, mexico')",,"('mario echeverria', 'maritime smuggling organization')"
123,U.S Border Patrol (USBP) agents assisted in the arrest of 28 people during two separate incursions along the California coastline.,0,1,4,0,0,6,,"('california', 'location')","('28 people', 'person'); ('california coastline', 'location'); ('u.s. border patrol', 'organization'); ('usbp agents', 'person')",,,"('28 people', 'california coastline'); ('u.s. border patrol', '28 people'); ('u.s. border patrol', 'california coastline'); ('u.s. border patrol', 'usbp agents'); ('usbp agents', '28 people'); ('usbp agents', 'california coastline')"
124,"The first incident occurred on Sunday, at approximately 6:30 p.m , when agents were notified by a concerned citizen of a suspicious vessel in San Diego Bay, near Coronado.",1,1,4,0,1,10,"('coronado', 'location')","('san diego', 'location')","('agents', 'person'); ('concerned citizen', 'person'); ('san diego bay', 'location'); ('suspicious vessel', 'means_of_transportation')",,"('san diego', 'coronado')","('agents', 'coronado'); ('agents', 'san diego bay'); ('agents', 'suspicious vessel'); ('concerned citizen', 'agents'); ('concerned citizen', 'coronado'); ('concerned citizen', 'san diego bay'); ('concerned citizen', 'suspicious vessel'); ('san diego bay', 'coronado'); ('suspicious vessel', 'coronado'); ('suspicious vessel', 'san diego bay')"
125,"The second event happened on Monday at 12:30 a.m , when the U.S Coast Guard’s Joint Harbor Operation Center notified AMO’s marine interdiction agents (MIAs) about a suspicious vessel off the coast of downtown San Diego.",0,1,6,0,0,14,,"('san diego', 'location')","('amo', 'organization'); ('downtown san diego', 'location'); ('joint harbor operation center', 'organization'); ('mias', 'person'); ('suspicious vessel', 'means_of_transportation'); ('u.s. coast guard', 'organization')",,,"('amo', 'downtown san diego'); ('amo', 'mias'); ('amo', 'suspicious vessel'); ('joint harbor operation center', 'amo'); ('joint harbor operation center', 'downtown san diego'); ('joint harbor operation center', 'mias'); ('joint harbor operation center', 'suspicious vessel'); ('mias', 'downtown san diego'); ('mias', 'suspicious vessel'); ('suspicious vessel', 'downtown san diego'); ('u.s. coast guard', 'downtown san diego'); ('u.s. coast guard', 'joint harbor operation center'); ('u.s. coast guard', 'mias'); ('u.s. coast guard', 'suspicious vessel')"
126,MIAs met the vessel at the Shelter Island boat dock and discovered 14 people on-board who were illegally present in the U.S Three other people were discovered nearby with a white pickup truck and boat trailer.,2,1,5,1,1,14,"('boat trailer', 'means_of_transportation'); ('white pickup truck', 'means_of_transportation')","('shelter island', 'location')","('14 people', 'person'); ('mias', 'person'); ('shelter island boat dock', 'location'); ('three other people', 'person'); ('vessel', 'means_of_transportation')","('white pickup truck', 'boat trailer')","('shelter island', 'white pickup truck')","('14 people', 'shelter island boat dock'); ('boat trailer', 'shelter island boat dock'); ('mias', '14 people'); ('mias', 'boat trailer'); ('mias', 'shelter island boat dock'); ('mias', 'three other people'); ('mias', 'vessel'); ('mias', 'white pickup truck'); ('three other people', 'boat trailer'); ('three other people', 'shelter island boat dock'); ('three other people', 'white pickup truck'); ('vessel', '14 people'); ('vessel', 'shelter island boat dock'); ('white pickup truck', 'shelter island boat dock')"
127,"Agents made contact with the vessel and determined that all 11 people on-board were unlawfully present in the U.S. Nine of the boat's occupants were Mexican nationals, one was a Guatemalan national, and one was a Salvadoran national.",3,2,6,2,5,10,"('guatemalan national', 'person'); ('salvadoran national', 'person'); ('vessel', 'means_of_transportation')","('mexican nationals', 'person'); ('u.s.', 'location')","('11 people', 'person'); ('agents', 'person'); ('el salvador', 'location'); ('guatemala', 'location'); ('mexico', 'location'); ('nine mexican nationals', 'person')","('guatemalan national', 'vessel'); ('salvadoran national', 'vessel')","('guatemalan national', 'u.s.'); ('mexican nationals', 'u.s.'); ('mexican nationals', 'vessel'); ('salvadoran national', 'u.s.'); ('vessel', 'u.s.')","('11 people', 'guatemalan national'); ('11 people', 'nine mexican nationals'); ('11 people', 'salvadoran national'); ('agents', '11 people'); ('agents', 'vessel'); ('guatemalan national', 'guatemala'); ('nine mexican nationals', 'mexico'); ('nine mexican nationals', 'vessel'); ('salvadoran national', 'el salvador'); ('vessel', '11 people')"
128,"The crew observed the vessel, later identified as a 26-foot Pursuit displaying Florida registration, conduct an at-sea transfer with another vessel near Bimini, Bahamas.",3,0,2,3,0,4,"('26-foot pursuit', 'means_of_transportation'); ('bimini, bahamas', 'location'); ('crew', 'person')",,"('another vessel', 'means_of_transportation'); ('florida', 'location')","('26-foot pursuit', 'bimini, bahamas'); ('crew', '26-foot pursuit'); ('crew', 'bimini, bahamas')",,"('26-foot pursuit', 'another vessel'); ('26-foot pursuit', 'florida'); ('another vessel', 'bimini, bahamas'); ('crew', 'another vessel')"
129,"A total of 20 individuals were encountered, including two suspected smugglers who were among those arrested and transferred to U.S. Coast Guard custody for processing.",0,1,3,0,0,3,,"('two suspected smugglers', 'person')","('20 individuals', 'person'); ('suspected smugglers', 'person'); ('u.s. coast guard', 'organization')",,,"('20 individuals', 'suspected smugglers'); ('20 individuals', 'u.s. coast guard'); ('suspected smugglers', 'u.s. coast guard')"
130,"Around 11:30 at night on February 8, a San Diego Air & Marine Branch (SDAMB)BE-350 Multi-Role Enforcement Aircraftdetected a possible lights out vessel by radar off the Southern California Coast headed north towards the maritime boundary line between Mexico and the United States.",4,0,3,2,2,12,"('be-350 multi-role enforcement aircraft', 'means_of_transportation'); ('mexico', 'location'); ('southern california coast', 'location'); ('united states', 'location')",,"('lights out vessel', 'means_of_transportation'); ('maritime boundary line', 'location'); ('san diego air & marine branch', 'organization')","('be-350 multi-role enforcement aircraft', 'southern california coast'); ('southern california coast', 'united states')","('mexico', 'united states'); ('southern california coast', 'mexico')","('be-350 multi-role enforcement aircraft', 'lights out vessel'); ('be-350 multi-role enforcement aircraft', 'maritime boundary line'); ('lights out vessel', 'maritime boundary line'); ('lights out vessel', 'mexico'); ('lights out vessel', 'southern california coast'); ('lights out vessel', 'united states'); ('maritime boundary line', 'mexico'); ('maritime boundary line', 'southern california coast'); ('maritime boundary line', 'united states'); ('san diego air & marine branch', 'be-350 multi-role enforcement aircraft'); ('san diego air & marine branch', 'lights out vessel'); ('san diego air & marine branch', 'southern california coast')"
131,"Barba was a leader of an alien smuggling organization based out of Baja California, Mexico and San Diego, California, which used panga boats, pleasure crafts, and multiple load vehicles to facilitate its sophisticated maritime smuggling operation.",6,0,1,9,0,8,"('baja california, mexico', 'location'); ('barba', 'person'); ('multiple load vehicles', 'means_of_transportation'); ('panga boats', 'means_of_transportation'); ('pleasure crafts', 'means_of_transportation'); ('san diego, california', 'location')",,"('alien smuggling organization', 'organization')","('barba', 'baja california, mexico'); ('barba', 'multiple load vehicles'); ('barba', 'panga boats'); ('barba', 'pleasure crafts'); ('barba', 'san diego, california'); ('multiple load vehicles', 'baja california, mexico'); ('multiple load vehicles', 'san diego, california'); ('panga boats', 'baja california, mexico'); ('pleasure crafts', 'san diego, california')",,"('alien smuggling organization', 'baja california, mexico'); ('alien smuggling organization', 'multiple load vehicles'); ('alien smuggling organization', 'panga boats'); ('alien smuggling organization', 'pleasure crafts'); ('alien smuggling organization', 'san diego, california'); ('barba', 'alien smuggling organization'); ('panga boats', 'san diego, california'); ('pleasure crafts', 'baja california, mexico')"
132,"Antonio Hurtado, the boat captain of the doomed vessel smuggling 32 migrants in May 2021 wherein three people died, was sentenced today in federal court to 18 years in prison.",2,0,2,1,0,5,"('antonio hurtado', 'person'); ('doomed vessel', 'means_of_transportation')",,"('32 migrants', 'person'); ('three people', 'person')","('antonio hurtado', 'doomed vessel')",,"('32 migrants', 'three people'); ('antonio hurtado', '32 migrants'); ('antonio hurtado', 'three people'); ('doomed vessel', '32 migrants'); ('doomed vessel', 'three people')"
133,"During the afternoon and evening of May 1, 2021, smugglers in Puerto Neuvo, Baja California, Mexico, shuttled undocumented migrants from the beach to a location approximately two hours offshore near the Coronado Islands where Hurtado and his 40-foot boat -- named the ""Salty Lady"" -- were waiting.",1,3,3,0,5,0,"('hurtado', 'person')","('coronado islands', 'location'); ('puerto neuvo, baja california, mexico', 'location'); ('salty lady', 'means_of_transportation')","('40-foot boat salty lady', 'means_of_transportation'); ('smugglers', 'person'); ('undocumented migrants', 'person')",,"('hurtado', 'coronado islands'); ('hurtado', 'puerto neuvo, baja california, mexico'); ('hurtado', 'salty lady'); ('puerto neuvo, baja california, mexico', 'coronado islands'); ('salty lady', 'coronado islands')",
134,"Throughout that night and into the early morning hours, Hurtado piloted his boat and its occupants through rainy conditions and rough seas from Mexico into United States territorial waters.",3,1,2,3,3,7,"('boat', 'means_of_transportation'); ('hurtado', 'person'); ('mexico', 'location')","('united states', 'location')","('occupants', 'person'); ('united states territorial waters', 'location')","('boat', 'mexico'); ('hurtado', 'boat'); ('hurtado', 'mexico')","('boat', 'united states'); ('hurtado', 'united states'); ('mexico', 'united states')","('boat', 'occupants'); ('boat', 'united states territorial waters'); ('hurtado', 'occupants'); ('hurtado', 'united states territorial waters'); ('mexico', 'united states territorial waters'); ('occupants', 'mexico'); ('occupants', 'united states territorial waters')"
135,"At about 6:30 a.m. Friday, the Santa Cruz Police Department found an abandoned inflatable raft near Seal Rock Beach in Santa Cruz, CA, linked to an ongoing smuggling case.",3,0,1,3,0,3,"('inflatable raft', 'means_of_transportation'); ('santa cruz, ca', 'location'); ('seal rock beach', 'location')",,"('santa cruz police department', 'organization')","('inflatable raft', 'santa cruz, ca'); ('inflatable raft', 'seal rock beach'); ('seal rock beach', 'santa cruz, ca')",,"('santa cruz police department', 'inflatable raft'); ('santa cruz police department', 'santa cruz, ca'); ('santa cruz police department', 'seal rock beach')"
136,"A dark SUV reportedly used by the organization was seen overnight in a coastal neighborhood of Cambria, CA, but agents halted observation after it drove off at dawn.",2,0,3,1,0,6,"('cambria, ca', 'location'); ('dark suv', 'means_of_transportation')",,"('agents', 'person'); ('coastal neighborhood', 'location'); ('organization', 'organization')","('dark suv', 'cambria, ca')",,"('agents', 'cambria, ca'); ('agents', 'coastal neighborhood'); ('agents', 'dark suv'); ('coastal neighborhood', 'cambria, ca'); ('dark suv', 'coastal neighborhood'); ('organization', 'dark suv')"
137,"Following intelligence about a boat drop in Oceanside, Homeland Security resumed tracking a minivan to an apartment in Fullerton, CA.",3,1,2,2,1,7,"('fullerton, ca', 'location'); ('minivan', 'means_of_transportation'); ('oceanside', 'location')","('boat', 'means_of_transportation')","('apartment', 'location'); ('homeland security', 'organization')","('minivan', 'fullerton, ca'); ('oceanside', 'fullerton, ca')","('boat', 'oceanside')","('apartment', 'fullerton, ca'); ('homeland security', 'apartment'); ('homeland security', 'fullerton, ca'); ('homeland security', 'minivan'); ('homeland security', 'oceanside'); ('minivan', 'apartment'); ('minivan', 'oceanside')"
